Name,Location,Supplier,Date,Qty,Species
"M/s. Sandhya Aqua Exports Pvt. Ltd","SPSR Nellore, Andhra Pradesh","SIS, Florida",01.02.2026,600,VANNAMEI
"M/s. Meenakshi Hatcheries","Visakhapatnam, Andhra Pradesh","SyAqua Americas Inc., Florida",02.02.2026,500,VANNAMEI
"M/s. SM Gold Hatcheries - Unit I","Villupuram, Tamil Nadu","SyAqua Americas Inc., Florida",02.02.2026,400,VANNAMEI
"M/s. Lotus Hatchery","SPSR Nellore, Andhra Pradesh","SyAqua Americas Inc., Florida",02.02.2026,400,VANNAMEI
"M/s. Ananda Foods","Kakinada, Andhra Pradesh","SIS, Florida",04.02.2026,800,VANNAMEI
"M/s. Golden Prawns Pvt. Ltd","Prakasam, Andhra Pradesh","SyAqua Americas Inc., Florida",05.02.2026,600,VANNAMEI
"M/s. Sea Park Hatcheries Pvt. Ltd","Prakasam, Andhra Pradesh","SIS, Florida",06.02.2026,800,VANNAMEI
"M/s. B Tech Hatcheries","Kakinada, Andhra Pradesh","SIS, Florida",06.02.2026,600,VANNAMEI
"M/s. Aqua Star Shrimp Hatchery","Villupuram, Tamil Nadu","SIS, Florida",07.02.2026,350,VANNAMEI
"M/s. Coastal Aqua Pvt. Ltd","Anakapalli, Andhra Pradesh","SyAqua Americas Inc., Florida",07.02.2026,800,VANNAMEI
"M/s. Raj Hatcheries (Bengal) Pvt. Ltd","Purba Medinipur, West Bengal","SIS, Florida",07.02.2026,400,VANNAMEI
"M/s. Seven Staar Aqua Tech","Chengalpattu, Tamil Nadu","SIS, Florida",07.02.2026,450,VANNAMEI
"M/s. Sree Dattatreya Hatcheries","Bapatla, Andhra Pradesh","SIS, Florida",08.02.2026,600,VANNAMEI
"M/s. Sri Pavan Aquatech","Kakinada, Andhra Pradesh","SyAqua Americas Inc., Florida",09.02.2026,600,VANNAMEI
"M/s. SVR Hatcheries","Kakinada, Andhra Pradesh","SyAqua Americas Inc., Florida",12.02.2026,500,VANNAMEI
"M/s. Varun Shrimp Hatchery Pvt. Ltd","Bapatla, Andhra Pradesh","SyAqua Americas Inc., Florida",12.02.2026,600,VANNAMEI
"M/s. Suhaan Enterprises Pvt. Ltd","Bapatla, Andhra Pradesh","SyAqua Americas Inc., Florida",14.02.2026,800,VANNAMEI
"M/s. Sapthagiri Hatcheries - Unit II","Kakinada, Andhra Pradesh","SyAqua Americas Inc., Florida",16.02.2026,800,VANNAMEI
"M/s. Sri Mahalakshmi Hatcheries","Visakhapatnam, Andhra Pradesh","SyAqua Americas Inc., Florida",19.02.2026,800,VANNAMEI
"M/s. Sri Manjunatha Hatcheries","SPSR Nellore, Andhra Pradesh","SyAqua Americas Inc., Florida",21.02.2026,800,VANNAMEI
"M/s. Beach Hatchery","Chengalpattu, Tamil Nadu","SIS, Florida",21.02.2026,450,VANNAMEI
"M/s. Beach Hatchery","Chengalpattu, Tamil Nadu","SyAqua Americas Inc., Florida",23.02.2026,600,VANNAMEI
"M/s. Hana Aqua","Villupuram, Tamil Nadu","SyAqua Americas Inc., Florida",23.02.2026,600,VANNAMEI
"M/s. Sri Anjaneya Hatcheries","Tirupati, Andhra Pradesh","SyAqua Americas Inc., Florida",28.02.2026,500,VANNAMEI
"M/s. Devi Seafoods Ltd","Prakasam, Andhra Pradesh","SyAqua Americas Inc., Florida",28.02.2026,591,VANNAMEI
