Name,Location,Supplier,Date,Qty,Species
"M/s. Sapthagiri Hatcheries - Unit II","Kakinada, Andhra Pradesh","SyAqua Americas Inc., Florida",08.03.2026,800,VANNAMEI
"M/s. Divyasneha Hatcheries","SPSR Nellore, Andhra Pradesh","SyAqua Americas Inc., Florida",08.03.2026,400,VANNAMEI
"M/s. Gaayathri Bio Marine","Bapatla, Andhra Pradesh","SyAqua Americas Inc., Florida",13.03.2026,600,VANNAMEI
"M/s. Sri Mahalakshmi Hatcheries","Tirupati, Andhra Pradesh","SyAqua Americas Inc., Florida",13.03.2026,600,VANNAMEI
"M/s. Vaisakhi Marine Resources Pvt. Ltd","Villupuram, Tamil Nadu","SyAqua Americas Inc., Florida",13.03.2026,600,VANNAMEI
"M/s. BKMN Aqua","Prakasam, Andhra Pradesh","SyAqua Americas Inc., Florida",13.03.2026,600,VANNAMEI
"M/s. Lotus Sea Farms - Unit II","Chengalpattu, Tamil Nadu","SyAqua Americas Inc., Florida",15.03.2026,600,VANNAMEI
"M/s. Sarada Hatcheries - Unit I","Prakasam, Andhra Pradesh","SyAqua Americas Inc., Florida",15.03.2026,500,VANNAMEI
"M/s. Sai Marine Exports Pvt. Ltd","Anakapalli, Andhra Pradesh","SIS, Florida",18.03.2026,800,VANNAMEI
"M/s. Sri Srinivasa Hatcheries","SPSR Nellore, Andhra Pradesh","SyAqua Americas Inc., Florida",21.03.2026,600,VANNAMEI
"M/s. Golden Marine Harvest","Villupuram, Tamil Nadu","SyAqua Americas Inc., Florida",22.03.2026,600,VANNAMEI
"M/s. Seven Staar Aqua Tech","Chengalpattu, Tamil Nadu","SIS, Florida",23.03.2026,400,VANNAMEI
"M/s. Royal Hatcheries","Chengalpattu, Tamil Nadu","SyAqua Americas Inc., Florida",24.03.2026,600,VANNAMEI
"M/s. SS Hatcheries","Tirupati, Andhra Pradesh","SyAqua Americas Inc., Florida",24.03.2026,400,VANNAMEI
"M/s. Avanti Feeds - Unit I","Anakapalli, Andhra Pradesh","SIS, Florida",27.03.2026,400,VANNAMEI
"M/s. Avanti Feeds - Unit I","Anakapalli, Andhra Pradesh","SIS, Florida",27.03.2026,500,VANNAMEI
"M/s. Sunshine AQ Care Pvt. Ltd - Unit II","Chengalpattu, Tamil Nadu","SyAqua Americas Inc., Florida",27.03.2026,600,VANNAMEI
"M/s. Balaji Aqua & Agro Products Pvt. Ltd","Bapatla, Andhra Pradesh","SIS, Florida",28.03.2026,800,VANNAMEI
"M/s. BMR Exports","Villupuram, Tamil Nadu","SyAqua Americas Inc., Florida",29.03.2026,600,VANNAMEI
"M/s. East Coast Hatcheries","Villupuram, Tamil Nadu","SyAqua Americas Inc., Florida",29.03.2026,800,VANNAMEI
"M/s. Sreevalli Hatcheries","SPSR Nellore, Andhra Pradesh","SIS, Florida",29.03.2026,600,VANNAMEI
"M/s. Mas Aqua Techniks Pvt. Ltd - Plant-II","SPSR Nellore, Andhra Pradesh","Aquaculture De La Mahajambal",24.03.2026,160,MONODON
